扫描速率（K/min）,时间（s）,贴身侧温度（℃）,界面12温度（℃）,界面23温度（℃）,外表面温度（℃）,平均固化进度
5.0,43.4749999999986,23.155759941046327,22.231706785466354,18.477212768931267,12.383270991678312,0.40191043981867314
5.0,43.4999999999986,23.15331384493371,22.22928701531955,18.47423426055347,12.380593741995606,0.4023088141154611
5.0,43.5249999999986,23.150868700263725,22.226865701523074,18.47126070863453,12.377916926706021,0.40270717544152934
5.0,43.5499999999986,23.14842450257874,22.224443676265334,18.468290615218287,12.375240542097435,0.4031055218674875
5.0,43.574999999998596,23.14598124752709,22.222021360217617,18.46532196438238,12.372564584104849,0.40350385435491176
5.0,43.599999999998595,23.143538930893463,22.219598757757954,18.46235098331889,12.3698890490894,0.40390216677336493
5.0,43.62499999999859,23.14109754860355,22.21717575970411,18.459379855749916,12.367213934237457,0.4043004540445526
5.0,43.64999999999859,23.138657096704275,22.21475235430453,18.456408915606485,12.364539237470469,0.4046987249749195
5.0,43.67499999999859,23.136217571325066,22.212328595927897,18.45343863875259,12.361864957106283,0.40509699043999126
5.0,43.69999999999859,23.13377896862783,22.209907988685874,18.450469438761267,12.359191091574711,0.4054952496188117
5.0,43.72499999999859,23.131341284754196,22.207489552256334,18.44750162709983,12.356517639369327,0.4058935014512029
5.0,43.749999999998586,23.1289045157792,22.205076493306304,18.444533728559666,12.353844599171826,0.4062917490761039
5.0,43.774999999998585,23.12646865768095,22.202669583008657,18.441559006457123,12.351171969591075,0.4066899771148709
5.0,43.79999999999858,23.12403370633427,22.20025912664395,18.438589337241545,12.348499748609314,0.40708819068734686
5.0,43.82499999999858,23.121599657531803,22.197846284839212,18.435623157844176,12.345827933390595,0.4074863894745789
5.0,43.84999999999858,23.119166507028492,22.195431651537998,18.43265975156607,12.343156520828925,0.40788456789243155
5.0,43.87499999999858,23.11673425059869,22.19301555710616,18.4296959963438,12.340485508502406,0.4082827199230538
5.0,43.89999999999858,23.114302884091575,22.190598740293517,18.426730479411333,12.337814895338907,0.4086808527198366
5.0,43.924999999998576,23.111872403471924,22.188181635743458,18.423764631769945,12.33514468161789,0.40907897150746986
5.0,43.949999999998575,23.109442804837933,22.185764257842123,18.42079896247569,12.332474868446203,0.4094770694201039
5.0,43.97499999999857,23.107014084414015,22.18334651838951,18.4178340010089,12.32980545710047,0.40987515456572954
5.0,43.99999999999857,23.10458623852162,22.180928447395416,18.414870167109196,12.32713644857885,0.41027323549222433
5.0,44.02499999999857,23.102159263534485,22.178510487763965,18.41190776155517,12.324467843516402,0.4106713027488393
