扫描速率（K/min）,潜热（kJ/kg）,时间（s）,贴身侧温度（℃）,界面12温度（℃）,功能层平均温度（℃）,界面23温度（℃）,外表面温度（℃）,固化进度
5.0,244.625496,43.75,23.222292103621115,22.281651550078138,20.81362386384575,18.30831588776608,12.202713311690848,0.408763427974994
5.0,244.625496,44.0,23.196553115280622,22.256046549582827,20.78898967386779,18.284913108136518,12.181670940400904,0.41283794529840506
5.0,244.625496,44.25,23.170902089324123,22.230488083997386,20.764382503992795,18.261530790434396,12.160655090993862,0.41691172872971666
5.0,244.625496,44.5,23.1453357436665,22.2049717833723,20.739798071778555,18.23816540861045,12.13966406737582,0.4209845893729351
5.0,244.625496,44.75,23.119850875843262,22.179495458151944,20.71523466456471,18.21481537010346,12.11869611749831,0.4250556433864133
5.0,244.625496,45.0,23.094444332745407,22.154056905195393,20.690690515950617,18.191479060712254,12.09774942542716,0.4291250714307997
5.0,244.625496,45.25,23.06911300172975,22.128653328018522,20.6661631436696,18.168154317659052,12.07682222859066,0.4331931289419598
5.0,244.625496,45.5,23.043853824349647,22.10328182760132,20.641649937118814,18.144838867878903,12.055912774345082,0.4372596380768737
5.0,244.625496,45.75,23.018663791099826,22.077940054405474,20.61714891762284,18.12153091817602,12.035019272276086,0.44132433518279846
5.0,244.625496,46.0,22.993539929696958,22.05262554609493,20.5926579526645,18.098228560886888,12.01413993050401,0.4453872846227192
5.0,244.625496,46.25,22.96847930673118,22.027335524044982,20.568174524954024,18.074929587964466,11.993272976992206,0.44944840343797016
5.0,244.625496,46.5,22.943479029851485,22.002067117283428,20.543696001156473,18.05163169183391,11.972416624243118,0.45350742667792926
5.0,244.625496,46.75,22.918536239401426,21.97681804734327,20.519220433610457,18.028333086546063,11.951569043786169,0.45756456232530107
5.0,244.625496,47.0,22.893648099763634,21.951586146706678,20.49474598384066,18.005032075730306,11.930728412283006,0.4616199869518642
5.0,244.625496,47.25,22.86881180570277,21.926367688041456,20.470268966902637,17.981725535422502,11.909892945762712,0.46567267193916445
5.0,244.625496,47.5,22.844024586368004,21.901160475423747,20.445787510458917,17.958411711526512,11.88906078246439,0.46972300758715707
5.0,244.625496,47.75,22.819283682474936,21.87596244504339,20.421299869788715,17.935088961583055,11.86823002157176,0.47377152977830805
5.0,244.625496,48.0,22.794586348369872,21.850771347408944,20.396804063115717,17.91175546442343,11.847398825077398,0.47781826157810764
5.0,244.625496,48.25,22.769929871535332,21.82558319073138,20.372296049927044,17.888407801491223,11.826565400484471,0.48186101402274806
5.0,244.625496,48.5,22.7453115722469,21.80039592450887,20.34777409610772,17.86504430145853,11.805727845938497,0.4859016785863423
5.0,244.625496,48.75,22.720728772131565,21.775207051461596,20.32323591077548,17.841662879765412,11.78488420994673,0.4899405466116972
5.0,244.625496,49.0,22.696178795495758,21.75001263123973,20.298677496216424,17.818260123136106,11.764032564048287,0.4939767043933676
5.0,244.625496,49.25,22.67165897565512,21.724811676694717,20.274098353778346,17.794835293300373,11.743170883845979,0.4980084732097182
5.0,244.625496,49.5,22.647166638938216,21.699599935432868,20.24949408346878,17.771384670265594,11.722297192470464,0.5020384830424217
