温度（℃）,放热倍率,v=2有效比热（kJ/(kg·K)）,v=5有效比热（kJ/(kg·K)）,v=10有效比热（kJ/(kg·K)）,参考速率（K/min）,参考倍率
17.588,1.0,61.12010815508022,25.888043262032088,14.144021631016045,,
17.622,1.0,61.42250133689839,26.00900053475936,14.20450026737968,,
17.657,1.0,61.72070314171123,26.128281256684495,14.264140628342249,,
17.691,1.0,62.01619632352941,26.246478529411764,14.323239264705883,,
17.725,1.0,62.30958950534759,26.363835802139036,14.381917901069519,,
17.76,1.0,62.60269131016042,26.481076524064168,14.440538262032085,,
17.795,1.0,62.89669311497327,26.598677245989307,14.499338622994655,,
17.829,1.0,63.192486296791444,26.71699451871658,14.55849725935829,,
17.862,1.0,63.49127085561496,26.836508342245985,14.618254171122993,,
17.897,1.0,63.79427266042781,26.957709064171123,14.678854532085563,,
17.93,1.0,64.10265721925134,27.081062887700536,14.74053144385027,,
17.965,1.0,64.41765902406418,27.20706360962567,14.803531804812836,,
17.999,1.0,64.74045220588235,27.336180882352938,14.86809044117647,,
18.032,1.0,65.07193676470588,27.468774705882353,14.934387352941178,,
18.066,1.0,65.41272994652405,27.60509197860962,15.002545989304812,,
18.102,1.0,65.76464037433155,27.745856149732617,15.07292807486631,,
18.136,1.0,66.12793355614973,27.89117342245989,15.145586711229946,,
18.17,1.0,66.50352673796792,28.041410695187164,15.220705347593583,,
18.205,1.0,66.89202854278075,28.196811417112297,15.29840570855615,,
18.238,1.0,67.2949131016043,28.357965240641715,15.378982620320858,,
18.271,1.0,67.71189766042781,28.52475906417112,15.462379532085562,,
18.306,1.0,68.14419946524066,28.69767978609626,15.54883989304813,,
18.341,1.0,68.59180127005348,28.876720508021393,15.638360254010697,,
18.377,1.0,69.05561169786097,29.06224467914439,15.731122339572195,,
18.41,1.0,69.53559625668449,29.254238502673793,15.827119251336898,,
18.445,1.0,70.03179806149733,29.45271922459893,15.926359612299466,,
18.478,1.0,70.54508262032087,29.658033048128345,16.029016524064172,,
