"时间（s）","贴身侧温度（℃）","阈值时刻（s）","阈值温度（℃）"
103.5,14.996392310151853,,
103.75,14.889220873101134,,
104,14.782078241258084,,
104.25,14.674985632616648,,
104.5,14.567962426018328,,
104.75,14.46102636394442,,
105,14.354193723858627,,
105.25,14.247479464220458,,
105.5,14.140897349980692,,
105.75,14.034460061349028,,
106,13.928179288827437,,
106.25,13.822065816881128,,
106.5,13.716129598133412,,
106.75,13.610379819591198,,
107,13.504824962110563,,
107.25,13.399472854078622,,
107.5,13.294330720104686,,
107.75,13.18940522536915,,
108,13.084702516164393,,
108.25,12.980228257071253,,
108.5,12.875987665142562,,
108.75,12.771985541407311,,
109,12.6682262999626,,
109.25,12.564713994882826,,
109.5,12.46145234514496,,
109.75,12.358444757743467,,
110,12.255694349147792,,
110.25,12.153203965237832,,
110.5,12.050976199838285,,
110.75,11.949013411960411,,
111,11.84731774184919,,
111.25,11.745891125924668,,
111.5,11.644735310698364,,
111.75,11.543851865738766,,
112,11.443242195753621,,
112.25,11.342907551851397,,
112.5,11.242849042039364,,
112.75,11.143067641011326,,
113,11.043564199274059,,
113.25,10.94433945165789,,
113.5,10.84539402525361,,
113.75,10.746728446814766,,
114,10.64834314966173,,
114.25,10.55023848012131,,
114.5,10.452414703533336,,
114.75,10.354872009853512,,
115,10.257610518879705,,
115.25,10.160630285127121,,
115.5,10.063931302375961,,
115.75,9.967513507913583,,
