扫描速率（K/min）,潜热（kJ/kg）,时间（s）,贴身侧温度（℃）,界面12温度（℃）,功能层平均温度（℃）,界面23温度（℃）,外表面温度（℃）,固化进度
2.0,611.5637399999999,255.0,21.45211861343934,20.922930073764945,20.388303457742282,19.501762465102853,17.38064735696083,0.48269180257853866
2.0,611.5637399999999,255.25,21.448748234235932,20.91945543483268,20.384836737068177,19.49834499726763,17.37738253111328,0.483263918699983
2.0,611.5637399999999,255.5,21.4453778544963,20.915980668773006,20.381369856024026,19.494927382696744,17.37411762355686,0.48383523886460766
2.0,611.5637399999999,255.75,21.44200746784133,20.91250576983574,20.377902809626764,19.491509615683203,17.370852626465208,0.4844065074577507
2.0,611.5637399999999,256.0,21.438637067151397,20.90903073723013,20.374435598232626,19.488091695353052,17.367587529262114,0.4849778032975855
2.0,611.5637399999999,256.25,21.435266644471355,20.905555570234977,20.370968222119554,19.484673620874563,17.36432232231591,0.48554912632541214
2.0,611.5637399999999,256.5,21.431896191612378,20.902080268155334,20.36750068151679,19.481255391412994,17.361056997638276,0.4861204764954315
2.0,611.5637399999999,256.75,21.428525700594065,20.898604830308493,20.364032976616667,19.477837006140845,17.3577915486894,0.48669185376986923
2.0,611.5637399999999,257.0,21.425155163850434,20.895129256017402,20.360565107581753,19.474418464253826,17.35452597010182,0.4872632581170336
2.0,611.5637399999999,257.25,21.421784574302468,20.891653544607884,20.357097074549888,19.470999764982405,17.35126025744623,0.4878346895101361
2.0,611.5637399999999,257.5,21.41841392536753,20.888177695408206,20.353628877637973,19.467580907598375,17.347994407045423,0.48840614792646386
2.0,611.5637399999999,257.75,21.41504321094056,20.884701696769923,20.35016050441124,19.464161880799196,17.344728415748918,0.4889775242156497
2.0,611.5637399999999,258.0,21.411672425306424,20.881225456301845,20.346691850403122,19.46074259521586,17.341462279251964,0.48954801878968934
2.0,611.5637399999999,258.25,21.408301562450458,20.877748972717075,20.34322291636887,19.45732304944071,17.33819598480287,0.4901185595479902
2.0,611.5637399999999,258.5,21.404930614332052,20.87427224510877,20.33975370277326,19.45390324245771,17.33492951503652,0.4906891463663257
2.0,611.5637399999999,258.75,21.40155957104794,20.87079527266449,20.336284209969765,19.45048317323948,17.331662854652784,0.49125977916824715
2.0,611.5637399999999,259.0,21.398188422057025,20.867318054608624,20.332814438238504,19.44706284070783,17.32839599110289,0.49183045789561286
2.0,611.5637399999999,259.25,21.39481715695548,20.863840590178647,20.329344387804174,19.443642243762948,17.325128914174538,0.49240118250234854
2.0,611.5637399999999,259.5,21.391445765829612,20.86036287861294,20.32587405884724,19.440221381315684,17.32186161552885,0.4929719529514946
2.0,611.5637399999999,259.75,21.388074239387315,20.85688491914531,20.322403451511736,19.43680025231031,17.318594088318868,0.493542769213367
2.0,611.5637399999999,260.0,21.38470256898626,20.853406711003757,20.318932565911147,19.433378855738088,17.315326326888716,0.4941136312642748
