温度（℃）,原始放热功率（W/kg）,端点线性基线（W/kg）,校正放热功率（W/kg）,固化进度
24.737,838.62,400.78820187165775,437.83179812834226,0.0109312097231862
24.771,819.53,400.77842914438503,418.75157085561494,0.010216881044736673
24.806,800.92,400.76836898395726,400.1516310160427,0.009513889430187026
24.838,782.7800000000001,400.75917112299464,382.02082887700544,0.00889998321536032
24.873,765.1,400.7491109625669,364.35088903743315,0.008259256621751155
24.905,747.88,400.7399131016043,347.1400868983957,0.007700826410618628
24.939,731.12,400.73014037433154,330.38985962566846,0.007135815357596973
24.972,714.8,400.72065508021393,314.079344919786,0.0066141816579763715
25.006,698.9300000000001,400.7108823529412,298.21911764705885,0.006103568952407725
25.038,683.5,400.70168449197865,282.79831550802135,0.005647543930527849
25.074,668.5100000000001,400.6913368983957,267.8186631016044,0.005161358846289191
25.107,653.9399999999999,400.6818516042781,253.25814839572183,0.004739599011915821
25.142,639.79,400.6717914438503,239.11820855614968,0.004316916026492694
25.175,626.06,400.6623061497326,225.39769385026733,0.00394093662050112
25.209,612.73,400.6525334224599,212.07746657754012,0.003576113925456815
25.242,599.81,400.6430481283423,199.16695187165766,0.0032432524854826912
25.277,587.29,400.63298796791446,186.6570120320855,0.0029120399432716933
25.309,575.16,400.6237901069519,174.53620989304807,0.002628549057229195
25.344,563.4200000000001,400.6137299465241,162.806270053476,0.0023389556912589925
25.377,552.06,400.6042446524064,151.45575534759354,0.002084591849194846
25.411,541.07,400.5944719251337,140.47552807486636,0.0018411422382917126
25.445,530.4499999999999,400.58469919786097,129.86530080213896,0.0016156975074983722
25.479,520.19,400.57492647058825,119.6150735294118,0.0014076488895258831
25.512,510.29,400.5654411764706,109.72455882352943,0.0012220212752812746
25.547,500.73999999999995,400.5553810160428,100.18461898395714,0.0010418236750296135
25.579,491.53000000000003,400.54618315508026,90.98381684491977,0.0008917806898162309
25.614,482.65999999999997,400.53612299465243,82.12387700534754,0.0007431755104584904
25.647,474.13,400.52663770053476,73.60336229946523,0.0006171298043218301
25.68,465.92,400.51715240641715,65.40284759358286,0.0005046181078352768
25.714,458.03,400.5073796791444,57.522620320855594,0.00040210714366928227
25.749,450.45000000000005,400.4973195187166,49.95268048128344,0.00030984442560636513
25.782,443.19,400.48783422459894,42.702165775401056,0.00023484954625485138
25.817,436.23,400.4777740641711,35.7522259358289,0.0001674999750582401
25.849,429.56,400.46857620320856,29.091423796791446,0.00011660593109209885
