衣料初温（℃）,时间（s）,贴身侧温度（℃）
37.0,224.25,18.642816576839973
37.0,224.5,18.6320720930094
37.0,224.75,18.62131704450966
37.0,225.0,18.61055124324138
37.0,225.25,18.599774493608603
37.0,225.5,18.588986600313923
37.0,225.75,18.578187372676958
37.0,226.0,18.56737662191593
37.0,226.25,18.55655414147229
37.0,226.5,18.54571970563819
37.0,226.75,18.534873079275695
37.0,227.0,18.52401401430211
37.0,227.25,18.513142254986416
37.0,227.5,18.502257554507946
37.0,227.75,18.49135969712987
37.0,228.0,18.480448498850674
37.0,228.25,18.46952378719145
37.0,228.5,18.458585359095547
37.0,228.75,18.447632975759593
37.0,229.0,18.43666637897786
37.0,229.25,18.425685290283905
37.0,229.5,18.414689417696838
37.0,229.75,18.40367845995295
37.0,230.0,18.39265208591387
37.0,230.25,18.381609939633677
37.0,230.5,18.370551664669655
37.0,230.75,18.35947692435013
37.0,231.0,18.348385402241103
37.0,231.25,18.337276772208906
37.0,231.5,18.32615064530152
37.0,231.75,18.315006579717792
37.0,232.0,18.303844134295097
37.0,232.25,18.292662905806232
37.0,232.5,18.281462527906044
37.0,232.75,18.270242647920295
37.0,233.0,18.259002909615372
37.0,233.25,18.247742951775304
37.0,233.5,18.236462402404133
37.0,233.75,18.22516087426942
37.0,234.0,18.21383795707097
37.0,234.25,18.202493156769393
37.0,234.5,18.191125867101952
37.0,234.75,18.179735436151308
37.0,235.0,18.16832128943446
37.0,235.25,18.156882951197645
37.0,235.5,18.145419972832734
37.0,235.75,18.13393181239948
37.0,236.0,18.12241783214647
37.0,236.25,18.11087738220532
37.0,236.5,18.099309861061446
37.0,236.75,18.087714708304794
37.0,237.0,18.076091339036786
37.0,237.25,18.064439107606447
37.0,237.5,18.052757334928454
37.0,237.75,18.041045363069358
37.0,238.0,18.029302568471604
37.0,238.25,18.017528323775633
37.0,238.5,18.005721930789655
37.0,238.75,17.99388262897187
37.0,239.0,17.98200965694673
37.0,239.25,17.970102290381455
37.0,239.5,17.958159817206106
37.0,239.75,17.946181428349146
37.0,240.0,17.934166199352127
37.0,240.25,17.922113182490513
37.0,240.5,17.910021497737194
37.0,240.75,17.89789033081464
37.0,241.0,17.885718863512217
37.0,241.25,17.87350623446109
37.0,241.5,17.8612515312436
37.0,241.75,17.84895375948842
37.0,242.0,17.83661185979217
37.0,242.25,17.824224757297902
37.0,242.5,17.81179138690796
37.0,242.75,17.799310661803627
37.0,243.0,17.786781380477066
37.0,243.25,17.774202257786424
37.0,243.5,17.76157209819618
37.0,243.75,17.748889857493282
37.0,244.0,17.736154535893032
37.0,244.25,17.72336500269579
37.0,244.5,17.710519962032993
37.0,244.75,17.69761796008033
37.0,245.0,17.68465743628624
37.0,245.25,17.67163686641049
37.0,245.5,17.658554855090756
37.0,245.75,17.64541008603968
37.0,246.0,17.632201208636737
37.0,246.25,17.61892680271875
37.0,246.5,17.60558538411049
37.0,246.75,17.59217539783952
37.0,247.0,17.578695146810162
37.0,247.25,17.56514275239331
37.0,247.5,17.551516290893378
37.0,247.75,17.537813960673816
37.0,248.0,17.524034035659405
37.0,248.25,17.51017466999845
37.0,248.5,17.4962338842096
37.0,248.75,17.482209740134792
37.0,249.0,17.468100369907955
37.0,249.25,17.453903857770644
37.0,249.5,17.43961816124063
37.0,249.75,17.425241062417456
37.0,250.0,17.410770182070824
37.0,250.25,17.396203128003577
37.0,250.5,17.381537576251436
37.0,250.75,17.36677113417658
37.0,251.0,17.351901225543617
37.0,251.25,17.33692526382038
37.0,251.5,17.32184079024075
37.0,251.75,17.306645216759193
37.0,252.0,17.291335543270595
37.0,252.25,17.27590852769281
37.0,252.5,17.26036092056946
37.0,252.75,17.2446894922595
37.0,253.0,17.228890928678503
37.0,253.25,17.21296160770906
37.0,253.5,17.19689764695263
37.0,253.75,17.180695321522986
37.0,254.0,17.16435114328858
37.0,254.25,17.147861697650058
37.0,254.5,17.13122345851989
37.0,254.75,17.11443262989112
37.0,255.0,17.097485044873242
