时间（s）,贴身侧温度（℃）,功能层均温（℃）,外表面温度（℃）,固化进度
195.5,19.810189663968437,18.586668837458348,15.723455111380103,0.7397705579971872
195.75,19.800764258623175,18.57668169183352,15.714141956470987,0.7409131048727603
196,19.79132315640368,18.566679349684215,15.704813737956293,0.7420534103169244
196.25,19.78186640449748,18.556662409303982,15.695470527643844,0.7431901495295199
196.5,19.77239405372163,18.546630763180904,15.686112454099412,0.7443285477916939
196.75,19.762906169165422,18.536584310741315,15.676739656714789,0.7454686173218863
197,19.753402825162663,18.526524057063384,15.667352250616338,0.7466018292457514
197.25,19.74388409969873,18.516449968851486,15.657950399018029,0.7477360250044439
197.5,19.7343500855146,18.50636194726034,15.648534294210489,0.7488717804722901
197.75,19.724800888490755,18.49625924378312,15.639104093393442,0.7500059060973704
198,19.715236613249036,18.48614060816932,15.629659861018705,0.7511359994746084
198.25,19.7056573408421,18.47600596508755,15.62020151471409,0.7522678750284759
198.5,19.696063108022866,18.465855494313296,15.610728901736001,0.7533998411985662
198.75,19.686453914162353,18.455690189356265,15.601241899329706,0.7545266242050113
199,19.676829745512258,18.445509948879096,15.591740489510268,0.7556550539237558
199.25,19.66719060152391,18.435314678920438,15.58222471287085,0.7567851416040527
