temperature_C,dsc_raw_mW_per_mg,exothermic_power_raw_W_per_kg,endpoint_linear_baseline_W_per_kg,exothermic_power_corrected_W_per_kg,solidification_progress_raw,solidification_progress_corrected,normalized_capacity_weight_per_C
22.998,-2.37908,2379.08,401.28804812834227,1977.7919518716576,0.13536563859247092,0.10793972312646594,0.09701974573598776
23.032,-2.34501,2345.0099999999998,401.27827540106955,1943.7317245989302,0.13217853362336757,0.10466945554160234,0.09534893572658168
23.066,-2.31081,2310.81,401.26850267379683,1909.5414973262032,0.12903748697581202,0.10145610390767167,0.09367174862228768
23.098,-2.27649,2276.49,401.2593048128342,1875.2306951871656,0.1261247155276876,0.09848553758141039,0.0919886467690432
23.132,-2.24208,2242.08,401.2495320855615,1840.8304679144385,0.1230762645243742,0.09538661089687223,0.09030115820377636
23.165,-2.2076,2207.6,401.2400467914439,1806.359953208556,0.12016258348997931,0.09243457312815861,0.08861022171827368
23.197,-2.17306,2173.06,401.2308489304813,1771.8291510695187,0.11738102105195677,0.0896261483349335,0.0869163278582958
23.231,-2.13849,2138.49,401.22107620320855,1737.2689237967911,0.11447223598868765,0.08669981392180766,0.08522099056085918
23.263,-2.10391,2103.91,401.211878342246,1702.6981216577537,0.1117784637061853,0.08399987592054849,0.08352513451783884
23.298,-2.06933,2069.33,401.2018181818182,1668.1281818181817,0.10888018134826279,0.0811061729529319,0.08182932077455321
23.332,-2.03479,2034.7900000000002,401.19204545454545,1633.5979545454547,0.10611133883133407,0.07835277176281952,0.08013545511439846
23.365,-2.00029,2000.2900000000002,401.18256016042784,1599.1074398395724,0.10346914072534305,0.07573621838406545,0.07844353753737456
23.4,-1.96586,1965.86,401.1725,1564.6875,0.10071468074367998,0.07302024254250267,0.07675508198049806
23.43,-1.93152,1931.52,401.1638770053476,1530.3561229946524,0.09839465238008138,0.07074285175025648,0.07507097083590923
23.464,-1.89729,1897.29,401.1541042780749,1496.135895721925,0.09581154761773507,0.06821897594044243,0.07339231209433338
23.498,-1.8632,1863.2,401.1443315508022,1462.0556684491978,0.09327453490941141,0.06575205777795068,0.07172052099340608
23.531,-1.82925,1829.25,401.1348462566845,1428.1151537433154,0.09085669328137268,0.06341275205491159,0.07005558343321575
23.565,-1.79548,1795.48,401.1250735294118,1394.3549264705882,0.08841127098953251,0.061059015810004086,0.06839948979662798
23.597,-1.7619,1761.9,401.11587566844923,1360.7841243315509,0.08615246190921753,0.05889658095998333,0.06675268832966867
23.631,-1.72853,1728.53,401.10610294117646,1327.4238970588235,0.08379764504558722,0.05665480957747945,0.06511621652350531
23.665,-1.69539,1695.3899999999999,401.09633021390374,1294.2936697860962,0.08148769912037997,0.05446848643299272,0.06349102726983599
23.699,-1.6625,1662.5,401.086557486631,1261.4134425133689,0.07922230030183426,0.052337211241182256,0.06187810166018193
23.73,-1.62988,1629.88,401.0776470588236,1228.8023529411767,0.07719708623070554,0.0504437857989114,0.06027837848632965
23.765,-1.59754,1597.54,401.06758689839575,1196.4724131016042,0.07495566842401165,0.04836179635301577,0.058692446993420716
23.797,-1.56551,1565.51,401.0583890374332,1164.4516109625667,0.07294724479159388,0.046508770319211336,0.057121680119356005
23.83,-1.53379,1533.79,401.0489037433155,1132.7410962566844,0.07091780185864138,0.04464942138188969,0.055566134263781784
23.864,-1.50242,1502.42,401.0391310160428,1101.3808689839573,0.06886942429211698,0.04278632498203968,0.054027771609740496
23.896,-1.47139,1471.3899999999999,401.02993315508024,1070.3600668449196,0.06698116129206315,0.04108178368729604,0.05250605931173681
23.93,-1.44073,1440.73,401.0201604278075,1039.7098395721925,0.0650165009823262,0.039322137747082694,0.05100252540669886
23.966,-1.41044,1410.4399999999998,401.0098128342246,1009.4301871657752,0.06297981112315677,0.03751278323165877,0.049517169894626616
23.998,-1.38055,1380.55,401.00061497326203,979.5493850267379,0.06120763228506012,0.035951686436331426,0.048051379813332525
24.033,-1.35107,1351.07,400.99055481283426,950.0794451871657,0.059310543678953324,0.03429518676245883,0.04660574440795815
24.067,-1.322,1322.0,400.9807820855615,921.0192179144385,0.057507158332831404,0.03273482558378302,0.04518020727885724
24.101,-1.29336,1293.3600000000001,400.97100935828877,892.3889906417114,0.055742707009509,0.03122257407854563,0.043775763617462576
24.134,-1.26515,1265.15,400.96152406417116,864.1884759358289,0.05406737708391649,0.02980079939001371,0.04239239932386258
24.167,-1.2374,1237.4,400.9520387700535,836.4479612299466,0.05242869015078293,0.028424303398938297,0.04103160013525066
